"","date","ID_RSSD","Name","total_interest_income","total_noninterest_income","total_interest_expense","total_noninterest_expense","chargeoffs","total_loans_and_leases","Assets"
"73",20020930,1111435,"STATE STREET CORP             ",0.00614265073091306,0.00904840630859444,0.00325145229756608,0.00881217828259737,0.0425805556015911,6094331,"   77,556,420"
"74",20020930,1119794,"U S BC                        ",0.0139075664057561,0.00840373320460214,0.00395503603324023,0.00955886578623726,0.324815270935961,116928000,"  174,006,000"
"75",20020930,1132449,"CITIZENS FNCL GROUP           ",0.0122691932586192,0.00276381213106339,0.00424453759945248,0.00676030455984259,0.167584106783467,27825431,"   58,445,000"
"76",20020930,1199611,"NORTHERN TR CORP              ",0.00776745024463615,0.00972351099670998,0.00398802164235346,0.00939003941639625,0.0765609106876613,17614733,"   39,670,547"
"77",20020930,1245415,"BANKMONT FC                   ",0.0092469500604781,0.0039120154457668,0.00358250540108274,0.00853952631905576,1.25406972361217,16979040,"   37,786,405"
"78",20020930,1275216,NA,NA,NA,NA,NA,NA,NA,NA
"79",20020930,1378434,"UNIONBANCAL CORP              ",0.0123256509118148,0.00487701135774094,0.00178302284573296,0.00884428571128515,0.203758827487311,25866364,"   37,611,969"
"80",20020930,1562859,NA,NA,NA,NA,NA,NA,NA,NA
"81",20020930,1574834,NA,NA,NA,NA,NA,NA,NA,NA
"82",20020930,1575569,NA,NA,NA,NA,NA,NA,NA,NA
"83",20020930,1951350,"CITIGROUP                     ",0.0136762675848805,0.0016596094489166,0.00555174258992136,0.00365463062056985,0.647751871374985,423619000,"1,031,568,000"
"84",20020930,2162966,NA,NA,NA,NA,NA,NA,NA,NA
"85",20020930,2277860,NA,NA,NA,NA,NA,NA,NA,NA
"86",20020930,2380443,NA,NA,NA,NA,NA,NA,NA,NA
"87",20020930,2816906,"TAUNUS CORP                   ",0.00921366726804327,0.00377370382333709,0.00789405267428761,0.00579448676840173,0.593229370182232,28151000,"  253,862,000"
"88",20020930,3232316,NA,NA,NA,NA,NA,NA,NA,NA
"89",20020930,3242838,NA,NA,NA,NA,NA,NA,NA,NA
"90",20020930,3587146,NA,NA,NA,NA,NA,NA,NA,NA
"91",20020930,3606542,NA,NA,NA,NA,NA,NA,NA,NA
"92",20020930,3846375,NA,NA,NA,NA,NA,NA,NA,NA
"93",20020930,3981856,NA,NA,NA,NA,NA,NA,NA,NA
"94",20020930,4846998,NA,NA,NA,NA,NA,NA,NA,NA
"95",20020930,5006575,NA,NA,NA,NA,NA,NA,NA,NA
"96",20020930,5280254,NA,NA,NA,NA,NA,NA,NA,NA
"97",20021231,1037003,"M&T BK CORP                   ",0.0138122851796672,0.00342425400212965,0.00391544415481457,0.00651789287111119,0.138143474500352,25863690,"   33,174,525"
"98",20021231,1039502,"J P MORGAN CHASE & CO         ",0.00814945231041717,0.00496426048728032,0.00422100513426038,0.00943301740588068,0.429336750374724,211489000,"  758,824,000"
"99",20021231,1068025,"KEYCORP                       ",0.0126727017954756,0.00520811571353678,0.00431617222703466,0.00785820549049347,0.360783570924836,62677466,"   84,962,782"
"100",20021231,1068191,"HUNTINGTON BSHRS              ",0.0107313517776945,0.00987370153974946,0.00456173539372617,0.0110737150978305,0.503403131704714,18651056,"   27,555,522"
"101",20021231,1069778,"PNC FNCL SVC GROUP            ",0.0111468528143117,0.0123107825510585,0.00325619041261668,0.0128679166372971,0.11348920783107,37450257,"   66,409,507"
"102",20021231,1070345,"FIFTH THIRD BC                ",0.0131815746239902,0.0065437102156199,0.00407156005425615,0.00703821441425165,0.144260938432513,48451092,"   80,899,212"
"103",20021231,1073757,"BANK OF AMER CORP             ",0.0115882083091723,0.00742923153555115,0.00491749419756881,0.00733687711866331,0.370310829829059,354567000,"  660,499,000"
"104",20021231,1074156,"BB&T CORP                     ",0.013753001615023,0.00610672455511074,0.00492603695464552,0.00814952565556828,0.154957631259002,53606266,"   80,216,816"
"105",20021231,1111435,"STATE STREET CORP             ",0.00540537837642807,0.0140067099713454,0.00279419928773648,0.00820011383338861,0,6117059,"   85,793,809"
"106",20021231,1119794,"U S BC                        ",0.0133063373827259,0.00799713376326884,0.00349780866203403,0.00921472890177585,0.362574767413572,119203000,"  180,027,000"
"107",20021231,1132449,"CITIZENS FNCL GROUP           ",0.0117829893997733,0.00273923019675367,0.00400866330227887,0.00642722219632376,0.103060156437194,30662164.0769231,"   62,353,855"
"108",20021231,1199611,"NORTHERN TR CORP              ",0.00770408441125027,0.00908973698108954,0.00386927958883585,0.00912897387542223,0.0635762562061929,17648098,"   39,478,150"
"109",20021231,1245415,"BANKMONT FC                   ",0.00946207072716687,0.00481218882146073,0.00342016512568674,0.00814333725749936,0.142926839089632,17582422,"   36,689,749"
"110",20021231,1275216,NA,NA,NA,NA,NA,NA,NA,NA
"111",20021231,1378434,"UNIONBANCAL CORP              ",0.0116307366145629,0.00486695216845324,0.00148823211375361,0.00907847215534061,0.21066063784215,26439206,"   40,193,327"
"112",20021231,1562859,NA,NA,NA,NA,NA,NA,NA,NA
"113",20021231,1574834,NA,NA,NA,NA,NA,NA,NA,NA
"114",20021231,1575569,NA,NA,NA,NA,NA,NA,NA,NA
"115",20021231,1951350,"CITIGROUP                     ",0.0134452556075064,0.00744994030204431,0.00444772555345929,0.0105095744583892,0.617165536629734,453525000,"1,097,190,000"
"116",20021231,2162966,NA,NA,NA,NA,NA,NA,NA,NA
"117",20021231,2277860,NA,NA,NA,NA,NA,NA,NA,NA
"118",20021231,2380443,NA,NA,NA,NA,NA,NA,NA,NA
